id,device_id,temperature,humidity,outdoor_temperature,weather_condition,alert,timestamp
1,ESP32_SIM_1,21.54,43.41,13.1,Overcast,0,2025-12-30T19:34:45.123244
2,ESP32_SIM_1,23.7,47.93,13.1,Overcast,0,2025-12-30T19:35:45.123244
3,ESP32_SIM_1,23.1,46.12,13.1,Overcast,0,2025-12-30T19:36:45.123244
4,ESP32_SIM_1,23.08,51.56,13.1,Overcast,0,2025-12-30T19:37:45.123244
5,ESP32_SIM_1,22.56,42.74,13.1,Overcast,0,2025-12-30T19:38:45.123244
6,ESP32_SIM_1,22.35,52.13,13.1,Overcast,0,2025-12-30T19:39:45.123244
7,ESP32_SIM_1,23.5,45.53,13.1,Overcast,0,2025-12-30T19:40:45.123244
8,ESP32_SIM_1,21.96,49.88,13.1,Overcast,0,2025-12-30T19:41:45.123244
9,ESP32_SIM_1,24.13,45.45,13.1,Overcast,0,2025-12-30T19:42:45.123244
10,ESP32_SIM_1,19.68,41.81,13.1,Overcast,0,2025-12-30T19:43:45.123244
11,ESP32_SIM_1,24.49,41.59,13.1,Overcast,0,2025-12-30T19:44:45.123244
12,ESP32_SIM_1,22.88,49.28,13.1,Overcast,0,2025-12-30T19:45:45.123244
13,ESP32_SIM_1,21.43,39.54,13.1,Overcast,0,2025-12-30T19:46:45.123244
14,ESP32_SIM_1,24.68,43.38,13.1,Overcast,0,2025-12-30T19:47:45.123244
15,ESP32_SIM_1,19.25,41.23,13.1,Overcast,0,2025-12-30T19:48:45.123244
16,ESP32_SIM_1,21.84,46.45,13.1,Overcast,0,2025-12-30T19:49:45.123244
17,ESP32_SIM_1,24.79,45.74,13.1,Overcast,0,2025-12-30T19:50:45.123244
18,ESP32_SIM_1,20.47,49.05,13.1,Overcast,0,2025-12-30T19:51:45.123244
19,ESP32_SIM_1,22.73,42.34,13.1,Overcast,0,2025-12-30T19:52:45.123244
20,ESP32_SIM_1,24.46,50.33,13.1,Overcast,0,2025-12-30T19:53:45.123244
21,ESP32_SIM_1,20.42,40.89,13.1,Overcast,0,2025-12-30T19:54:45.123244
22,ESP32_SIM_1,21.34,41.03,13.1,Overcast,0,2025-12-30T19:55:45.123244
23,ESP32_SIM_1,24.0,39.75,13.1,Overcast,0,2025-12-30T19:56:45.123244
24,ESP32_SIM_1,21.67,37.81,13.1,Overcast,0,2025-12-30T19:57:45.123244
25,ESP32_SIM_1,24.71,44.62,13.1,Overcast,0,2025-12-30T19:58:45.123244
26,ESP32_SIM_1,20.09,50.52,13.1,Overcast,0,2025-12-30T19:59:45.123244
27,ESP32_SIM_1,21.3,50.49,13.1,Overcast,0,2025-12-30T20:00:45.123244
28,ESP32_SIM_1,24.07,50.06,13.1,Overcast,0,2025-12-30T20:01:45.123244
29,ESP32_SIM_1,19.14,42.7,13.1,Overcast,0,2025-12-30T20:02:45.123244
30,ESP32_SIM_1,21.23,43.76,13.1,Overcast,0,2025-12-30T20:03:45.123244
31,ESP32_SIM_1,24.2,49.35,13.1,Overcast,0,2025-12-30T20:04:45.123244
32,ESP32_SIM_1,23.24,37.77,13.1,Overcast,0,2025-12-30T20:05:45.123244
33,ESP32_SIM_1,20.69,46.62,13.1,Overcast,0,2025-12-30T20:06:45.123244
34,ESP32_SIM_1,19.74,50.74,13.1,Overcast,0,2025-12-30T20:07:45.123244
35,ESP32_SIM_1,24.35,42.37,13.1,Overcast,0,2025-12-30T20:08:45.123244
36,ESP32_SIM_1,21.21,46.88,13.1,Overcast,0,2025-12-30T20:09:45.123244
37,ESP32_SIM_1,22.44,45.94,13.1,Overcast,0,2025-12-30T20:10:45.123244
38,ESP32_SIM_1,24.76,41.74,13.1,Overcast,0,2025-12-30T20:11:45.123244
39,ESP32_SIM_1,21.45,49.25,13.1,Overcast,0,2025-12-30T20:12:45.123244
40,ESP32_SIM_1,22.21,39.29,13.1,Overcast,0,2025-12-30T20:13:45.123244
41,ESP32_SIM_1,21.79,37.77,13.1,Overcast,0,2025-12-30T20:14:45.123244
42,ESP32_SIM_1,23.91,49.4,13.1,Overcast,0,2025-12-30T20:15:45.123244
43,ESP32_SIM_1,21.88,45.78,13.1,Overcast,0,2025-12-30T20:16:45.123244
