id,device_id,temperature,humidity,outdoor_temperature,weather_condition,alert,timestamp,ldr_value,ldr_alert,ds18b20_temperature,dht_temperature,temperature_source,ds18b20_ok,dht_ok,sensor_disagreement,alert_cause
3507,ESP32_01,35.5,65.0,12.6,,1,2026-01-11 19:40:04.373599,,0,,,,True,True,False,HIGH_TEMP
3508,ESP32_01,35.8,65.0,12.6,,1,2026-01-11 19:40:19.141109,,0,,,,True,True,False,HIGH_TEMP
3509,ESP32_01,36.0,65.0,12.6,,1,2026-01-11 19:43:29.497892,,0,,,,True,True,False,HIGH_TEMP
3510,ESP32_01,36.2,65.0,12.6,,1,2026-01-11 19:43:41.739365,,0,,,,True,True,False,HIGH_TEMP
3511,ESP32_01,36.5,65.0,12.3,,1,2026-01-11 20:01:30.706279,,0,,,,True,True,False,HIGH_TEMP
3512,ESP32_01,36.8,65.0,12.3,,1,2026-01-11 20:01:43.908715,,0,,,,True,True,False,HIGH_TEMP
3513,ESP32_01,37.0,65.0,12.3,,1,2026-01-11 20:03:33.514681,,0,,,,True,True,False,HIGH_TEMP
3514,ESP32_01,37.2,65.0,12.3,,1,2026-01-11 20:03:45.860581,,0,,,,True,True,False,HIGH_TEMP
3515,ESP32_01,38.0,65.0,12.3,,1,2026-01-11 20:09:26.600375,,0,,,,True,True,False,HIGH_TEMP
3516,ESP32_01,38.5,65.0,12.3,,1,2026-01-11 20:09:39.470506,,0,,,,True,True,False,HIGH_TEMP
3517,ESP32_01,40.0,65.0,12.3,,1,2026-01-11 20:11:36.316671,,0,,,,True,True,False,HIGH_TEMP
3518,ESP32_01,40.5,65.0,12.3,,1,2026-01-11 20:11:48.659883,,0,,,,True,True,False,HIGH_TEMP
3519,ESP32_01,42.0,65.0,12.3,,1,2026-01-11 20:14:19.092499,,0,,,,True,True,False,HIGH_TEMP
3520,ESP32_01,42.5,65.0,12.3,,1,2026-01-11 20:14:31.399864,,0,,,,True,True,False,HIGH_TEMP
3521,ESP32_01,45.0,65.0,12.1,,1,2026-01-11 20:18:12.908580,,0,,,,True,True,False,HIGH_TEMP
3522,ESP32_01,45.5,65.0,12.1,,1,2026-01-11 20:18:26.059271,,0,,,,True,True,False,HIGH_TEMP
3523,ESP32_01,10.0,65.0,12.1,,0,2026-01-11 20:25:25.322372,,0,,,,True,True,False,
3524,ESP32_01,10.0,65.0,12.1,,0,2026-01-11 20:25:54.891703,,0,,,,True,True,False,
3525,ESP32_01,8.5,65.0,12.1,,0,2026-01-11 20:26:07.218585,,0,,,,True,True,False,
3526,ESP32_01,12.0,65.0,12.1,,1,2026-01-11 20:27:29.658047,,0,,,,True,True,False,LOW_TEMP
3527,ESP32_01,10.5,65.0,12.1,,1,2026-01-11 20:27:41.882016,,0,,,,True,True,False,LOW_TEMP
3528,ESP32_01,37.0,65.0,12.0,,1,2026-01-11 20:36:54.345266,,0,,,,True,True,False,HIGH_TEMP
